description,Quantity,Part #,source,link,Reference designators
"Quad op amp		",36,ADA4891,customer supplied,,"U2, U14, U17, U20, U23, U26, U29, U32, U35, U38, U41, U44, U47, U50, U53, U56, U59, U62, U65, U68, U71, U74, U77, U80, U83, U86, U89, U92, U95, U98, U101, U104, U107, U110, U113, U116, "
"Quad comparator			",36,MAX964,customer supplied,,"U3, U15, U18, U21, U24, U27, U30, U33, U36, U39, U42, U45, U48, U51, U54, U57, U60, U63, U66, U69, U72, U75, U78, U81, U84, U87, U90, U93, U96, U99, U102, U105, U108, U111, U114, U117, "
"Quad DAC		",36,AD5335BRU,customer supplied,,"U11, U16, U19, U22, U25, U28, U31, U34, U37, U40, U43, U46, U49, U52, U55, U58, U61, U64, U67, U70, U73, U76, U79, U82, U85, U88, U91, U94, U97, U100, U103, U106, U109, U112, U115, U118, "
"capacitor, 0.1uF, 0402		",180,CL05A104KA5NNNC,Mouser,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL05A104KA5NNNC?qs=X6jEic%2FHinDlkqz9npJeOg%3D%3D,"C2, C3, C4, C5, C9, C10, C13, C14, C20, C21, C22, C23, C25, C26, C27, C28, C30, C31, C32, C33, C35, C36, C37, C38, C40, C41, C42, C43, C45, C46, C47, C48, C50, C51, C52, C53, C55, C56, C57, C58,  C60, C61, C62, C63, C65, C66, C67, C68, C70, C71, C72, C73, C75, C76, C77, C78, C80, C81, C82, C83, C85, C86, C87, C88, C90, C91, C92, C93, C95, C96, C97, C98, C100, C101, C102, C103, C105, C106, C107, C108, C110, C111, C112, C113, C115, C116, C117, C118, C120, C121, C122, C123, C125, C126, C127, C128, C130, C131, C132, C133, C135, C136, C137, C138, C140, C141, C142, C143, C145, C146, C147, C148, C150, C151, C152, C153, C155, C156, C157, C158, C160, C161, C162, C163, C165, C166, C167, C168, C170, C171, C172, C173, C175, C176, C177, C178, C180, C181, C182, C183, C185, C186, C187, C188, C8, C19, C24, C29, C34, C39, C44, C49, C54, C59, C64, C69, C74, C79, C84, C89, C94, C99, C104, C109, C114, C119, C124, C129, C134, C139, C144, C149, C154, C159, C164, C169, C174, C179, C184, C189, "
"capacitor, 0.1uF, 0603		",12,CC0603JRX7R9BB104,Mouser,https://www.mouser.com/ProductDetail/YAGEO/CC0603JRX7R9BB104?qs=57cj7OiSijmjSM%252BQadQODQ%3D%3D,"C190, C191, C192, C193, C194, C195, C11, C12, C15, C16, C17, C18, "
"resistor, 5.1k, 0402			",144,RC0402FR-075K1L ,Mouser,https://www.mouser.com/ProductDetail/YAGEO/RC0402FR-075K1L?qs=YUgVZYePFqCSmQuaha43RA%3D%3D,"R1, R2, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R132, R133, R134, R135, R136, R137, R138, R139, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, "
"resistor array, 470, 0805			",36,CAY10-471J4LF,Mouser,https://www.mouser.com/ProductDetail/Bourns/CAY10-471J4LF?qs=OfLg%252B8nW%252Blbp1HGC4k1dtQ%3D%3D,"RN1, RN2, RN3, RN4, RN5, RN6, RN7, RN8, RN9, RN10, RN11, RN12, RN13, RN14, RN15, RN16, RN17, RN18, RN19, RN20, RN21, RN22, RN23, RN24, RN25, RN26, RN27, RN28, RN29, RN30, RN31, RN32, RN33, RN34, RN35, RN36, "
"capacitor array, 220p, 0805			",36,W2A45A221KAT2A ,Mouser,https://www.mouser.com/ProductDetail/KYOCERA-AVX/W2A45A221KAT2A?qs=1X9trZCrWl29W6fmMy6ndg%3D%3D,"CN1, CN2, CN3, CN4, CN5, CN6, CN7, CN8, CN9, CN10, CN11, CN12, CN13, CN14, CN15, CN16, CN17, CN18, CN19, CN20, CN21, CN22, CN23, CN24, CN25, CN26, CN27, CN28, CN29, CN30, CN31, CN32, CN33, CN34, CN35, CN36, "
"HPC FMC connector			",1,ASP-134602-01,Mouser,https://www.mouser.com/ProductDetail/Samtec/ASP-134602-01?qs=FESYatJ8odJXL2em%252Bh4I4Q%3D%3D,"J12, "
"Q strip connector			",4,QSE-040-01-F-D-A,Mouser,https://www.mouser.com/ProductDetail/Samtec/QSE-040-01-F-D-A?qs=92ilVni64gzKGoyyKQGXjw%3D%3D,"J8, J9, J10, J11, "
"octal buffer	",6,74LVC541,Mouser,https://www.mouser.com/ProductDetail/Nexperia/74LVC541APW118?qs=me8TqzrmIYXvoPByM7nnJQ%3D%3D,"U119, U120, U121, U122, U123, U124, "
